ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	400	267.5	90.0	0	400	0
1	401	417.0	90.5	0	401	13
1	402	454.0	90.0	0	402	15
1	403	458.5	90.0	0	403	15
1	404	473.0	90.0	0	404	15
1	405	221.0	91.0	0	405	17
1	406	415.0	91.0	0	406	13
1	407	149.5	92.0	0	407	14
1	408	277.5	92.0	0	408	18
1	409	406.5	92.0	0	409	13
1	410	409.5	92.0	0	410	13
1	411	464.0	92.66666666666667	0	411	15
1	412	467.5	92.25	0	412	15
1	413	121.0	92.5	0	413	11
1	414	125.5	93.0	0	414	11
1	415	144.0	93.5	0	415	14
1	416	156.66666666666666	93.83333333333333	0	416	12
1	417	268.0	92.5	0	417	18
1	418	418.5	93.0	0	418	13
1	419	455.5	93.0	0	419	15
1	420	503.0	93.0	0	420	0
1	421	139.0	94.0	0	421	14
1	422	148.0	94.0	0	422	14
1	423	152.5	94.0	0	423	14
1	424	160.5	94.0	0	424	12
1	425	181.5	94.0	0	425	10
1	426	342.6666666666667	94.33333333333333	0	426	0
1	427	475.0	94.0	0	427	15
1	428	132.5	95.0	0	428	11
1	429	134.0	95.0	0	429	11
1	430	273.0	95.0	0	430	18
1	431	278.3333333333333	95.33333333333333	0	431	18
1	432	460.0	95.5	0	432	15
1	433	472.0	95.0	0	433	15
1	434	479.5	95.0	0	434	15
1	435	484.0	95.0	0	435	15
1	436	121.5	96.0	0	436	11
1	437	206.0	96.0	0	437	17
1	438	277.0	96.0	0	438	18
1	439	475.0	96.0	0	439	15
1	440	134.5	97.0	0	440	14
1	441	156.0	97.0	0	441	14
1	442	463.0	97.0	0	442	15
1	443	117.5	98.0	0	443	11
1	444	126.5	98.0	0	444	11
1	445	130.0	98.0	0	445	11
1	446	132.0	98.0	0	446	11
1	447	171.5	98.0	0	447	12
1	448	265.3333333333333	97.66666666666667	0	448	18
1	449	272.0	98.0	0	449	18
1	450	485.5	98.0	0	450	15
1	451	146.66666666666666	98.66666666666667	0	451	14
1	452	259.0	99.0	0	452	18
1	453	427.0	99.0	0	453	16
1	454	428.5	99.0	0	454	16
1	455	468.5	99.0	0	455	15
1	456	473.0	98.25	0	456	15
1	457	478.5	99.0	0	457	15
1	458	158.33333333333334	99.66666666666667	0	458	14
1	459	176.0	100.0	0	459	0
1	460	264.5	100.0	0	460	18
1	461	270.5	100.0	0	461	18
1	462	493.5	100.0	0	462	15
1	463	119.5	101.0	0	463	11
1	464	129.0	100.5	0	464	11
1	465	205.66666666666666	100.66666666666667	0	465	17
1	466	275.5	101.0	0	466	18
1	467	363.0	101.0	0	467	0
1	468	459.5	101.5	0	468	15
1	469	465.0	101.0	0	469	15
1	470	125.0	102.0	0	470	11
1	471	197.66666666666666	102.0	0	471	17
1	472	254.0	102.0	0	472	18
1	473	268.75	102.25	0	473	18
1	474	281.0	102.0	0	474	18
1	475	422.5	102.0	0	475	16
1	476	122.5	103.5	0	476	11
1	477	196.0	103.0	0	477	17
1	478	266.0	103.0	0	478	18
1	479	278.5	103.0	0	479	18
1	480	466.0	103.0	0	480	15
1	481	470.5	103.0	0	481	15
1	482	480.0	103.0	0	482	15
1	483	488.0	103.5	0	483	15
1	484	200.0	104.0	0	484	17
1	485	269.5	103.5	0	485	18
1	486	405.5	104.0	0	486	16
1	487	427.5	104.25	0	487	16
1	488	431.0	104.0	0	488	16
1	489	151.66666666666666	105.33333333333333	0	489	14
1	490	160.0	105.0	0	490	14
1	491	276.5	105.0	0	491	18
1	492	458.25	105.0	0	492	15
1	493	464.3333333333333	105.0	0	493	15
1	494	470.0	105.0	0	494	15
1	495	202.5	106.0	0	495	17
1	496	207.0	106.0	0	496	17
1	497	261.5	106.0	0	497	18
1	498	268.5	106.0	0	498	18
1	499	429.0	106.0	0	499	16
1	500	477.0	106.0	0	500	15
1	501	184.25	107.75	0	501	20
1	502	198.5	107.5	0	502	17
1	503	210.0	106.5	0	503	17
1	504	254.0	107.0	0	504	18
1	505	271.5	107.0	0	505	18
1	506	278.8	108.0	0	506	18
1	507	411.0	107.0	0	507	16
1	508	470.0	107.0	0	508	15
1	509	64.5	108.0	0	509	0
1	510	283.5	108.0	0	510	18
